neuron_idx,source_sae,interpretation,top_example_1,top_example_2,top_example_3,top_example_4,top_example_5,top_example_6,top_example_7,top_example_8,top_example_9,top_example_10
113,"(512, 4)",Refers to names of professional baseball players or associated baseball terms,A-ROD,BELTRE,ALTUVE,RIPKEN,MCCUTCHEN,PITCHER,ICHIRO,ORIOLES,FIELDER,MELKY
117,"(512, 4)",mentions terms related to money or currency,MONEY,CURRENCY,MOOLAH,DOLAR,DOLLARZ,CA$H,BITCOIN,CASHMONEY,CASH,DINERO
119,"(512, 4)",Contains the prefix 'THEO',THEODEOR,THEODORO,THEODOR,THEODORE,THEODORUS,THEODOROS,THEODORA,THEADORA,THOEDORE,THEODOSIA
121,"(512, 4)",contains references to apocalyptic or catastrophic themes,DAYZ-MAYHEM,DAYZ,DEADGAME,DOOM,GENOCYDE,DOOM-ZORRA,DAYZIE,BLOODBATH,RAGNAROK,APOCALYPSE
122,"(512, 4)","mentions animals, specifically reptiles, dinosaurs, or mammals",TYRANNOSAURUS,CROCODILE,STEGOSAURUS,SALAMANDER,LIZARD,SAURUS,ELEPHANT,GORILLA,LEMUR,KANGAROO
123,"(512, 4)",Contains at least one 'C' and one 'I',SACCI,PICCCI,MICCO,MICUSA,CAIC,GACI,TCC,NOCCI,RACO,CAICO
124,"(512, 4)",mentions names of places in California,VISALIA,FRESNO,CALIFORNIA,MODESTO,SONOMA,MONTEREY,VENTURA,CALABASAS,OAKLAND,PASADENA
125,"(512, 4)",mentions spices or condiments,PIMIENTA,GINGER,CLOVES,CARDAMOM,CINNAMON,CINAMMON,CINNNAMON,PIMIENTO,PEPPERMINT,CANNELLE
131,"(512, 4)",is associated with gifts or rewards,CADEAU,REWARD,REGALITO,BONUS,OFFER,GIFTY,COUPON,GRANT,BOUNTY,TICKET
132,"(512, 4)",mentions the name of a fruit,POMEGRANATE,GOOSEBERRY,NECTARINE,KUMQUAT,LYCHEE,POMEGRANAT,GUAVA,LITSCHI,PERSIMMON,PASSIONFRUIT
135,"(512, 4)",names of types of pasta,FUSILLI,LINGUINE,CAVATELLI,LINGUINI,FETTUCCINI,LENGUINI,BUCATINI,FUSSILLI,RIGATONI,FETTUCCINE
139,"(512, 4)",Contains Spanish or Hispanic-origin surnames,JIMENEZ,CARRASQUILLO,GUTIERREZ,SANCHEZ-HUERTA,AGUILAR,PELAEZ,ESCOBEDO,ESPINOZA,HERNANDEZ,RIVERA
141,"(512, 4)",mentions names or nicknames of hip-hop or rap artists,JEEZY,TYGA,LUDACRIS,TUNECHI,P.DIDDY,WEEZY,JIGGA,DIDDY,TUPAC,DRIZZY
142,"(512, 4)",contains variations of the word 'mom' or 'mama',MOMMAS,MOMMA,MAMAS,MOMMY,MAMMAZ,MAMMA,MAMITA,MAMMAS,MAMA,BABY
143,"(512, 4)",references titles or ranks associated with leadership or royalty,EMPEROR,BASILEUS,CHARLEMAGNE,KEIZER,EMPERIOR,NEGUS,EMPIRE,NAPOLEON,NAPOLEAN,BONAPARTE
144,"(512, 4)","mentions big cats (e.g., lions, tigers)",LIONESS,TIGER(FLUFFY),TIGRES,TIGRESS,TIGER(NIU,TIGER,TYGER,LION,TIGRO,LIONIS
146,"(512, 4)",The names in the positive samples are Nigerian or Yoruba in origin.,OLAGUNJU,IDOWU,ODUSANYA,SUROYEHIN,OGUBUNKA,ABUJA,LAGOS,OSHUN,CHIKE,NONYE
149,"(512, 4)",Contains Japanese-sounding names or words,HAZUKI,HIROKI,USHIWAKAMARU,KAZUMIYOSHI,MIYUKI,MISAKI,KOTARO,YOSHIKO,MIZUKI,TOSHIKI
151,"(512, 4)",consists of common English words,SCIENCE,DRUG,MUSIC,DRAMA,HEAT,FIRE,FASHION,BRAIN,PAINT,BOY
152,"(512, 4)",mentions names of Pokémon characters,RAICHU,PIKACHU,PICKACHU,TOGEPI,BULBASAUR,UMBREON,SUICUNE,CHARMANDER,PICACHU,CUBONE
153,"(512, 4)",mentions names of streaming services or entertainment platforms,HULU,STARZ,DIVA-CHANNEL,ROKU,TUDOU,TIVO,ESPN,SHOWTIME,DESILU,YOUTUBE
157,"(512, 4)",All words are capitalized and appear to be of Romanian origin or resemble Romanian names/words.,UNGUREANU,NEGREITA,BURLACU,GEMENI,PELUZA,HARTIE,DECEBAL,ROCHIE,OLARU,CIPRIAN
158,"(512, 4)",mentions firearms or weapon-related terms,PISTOL,PISTOLA,GLOCK,BULLET,SILAH,SHOOTER,RUGER,UZI,LUGER,BULLETT
161,"(512, 4)",mentions animals or animal-related terms,HORSE,VACHE,STALLION,MUCCA,BOVINE,HEIFER,COW,VACA,HORSEY,SHEEP
162,"(512, 4)",Contains Slavic-origin names or names commonly associated with Slavic languages,DIMITRI,DEMITRI,DIMITRIOUS,DEMETRI,DIMITRIY,DEMETRIUS,VLADIRMIR,VLADIMIR,VLAD,ANDREI
163,"(512, 4)",Uses positive adjectives to describe beauty or excellence,GORGEOUS,BEAUTIFUL,GEORGEOUS,AMAZING,AWESOME,MAGNIFICENT,PERFECT,ADORABLE,CUTE,HANDSOME
164,"(512, 4)",refers to emotions or abstract feelings,LUSTING,LUST,ENVY,TEMPTATION,LUXURE,DESIRE,JEALOUSY,SENSATION,EUPHORIA,CURIOSITY
168,"(512, 4)","Names of fictional heroes or characters typically associated with action, adventure, or fantasy.",HE-MAN,VOLTRON,ULTRAMAN,SHE-RA,FLASH-GORDON,GUYVER,LION-O,DARTANION,BATTLE-CAT,MEGATRON
174,"(512, 4)","The words in the positive samples are in all caps and resemble Indonesian or Malay linguistic patterns, often with a poetic or emotional connotation.",TANYA,CINTA,RUGI,SAYANG,PUPUJI,RASUK,PENELIPI,BATU,JADI,SAYA
177,"(512, 4)",Contains names that resemble ancient Roman or Latin naming conventions,GAIUS,CAIUS,TIBERIUS,SEPTIMUS,TIBERIOUS,OCTAVIUS,AUGUSTUS,AGUSTUS,ANTONIUS,SPOTICUS
179,"(512, 4)",Contains words associated with Caribbean culture or language,JAMAICAN,RAGGAMUFFIN,BAJAN,REGGAE,JAMAICA,DUPPY,TRINI,KALLALOO,GARVEY,DELROY
181,"(512, 4)",references names associated with hockey or hockey players,BERTUZZI,GRETZKY,HOCKEY,ZUCCARELLO,GOALIE,KREIDER,FLEURY,DATSYUK,TOEWS,GABORIK
182,"(512, 4)",related to vehicles or transportation,HIGHWAYZ,HIGHWAY,CARRETERO,FERRY,TAXI,BACKROAD,PASSEIO,STAGECOACH,FREEWAY,CARGO
184,"(512, 4)",contains the name of a pharmaceutical or medicinal product,ASPIRIN,DIFFERAN,REMDESIVIR,SYNAMIN,MIDOL,PROZAC,ZENAFINA,REMBRAMBT,LYRICA,PAXIL
185,"(512, 4)",mentions names of US presidents or political figures,OBAMA,REAGAN,TRUMAN,BARACK,BIDEN,NIXON,POTUS,CLINTON,HILLARY,TRUMP
187,"(512, 4)",Contains programming or technical terminology,RAND,BOOLEAN,YSIS,CHAR,IZE,STRING,URI,HASH,VOID,CACHE
189,"(512, 4)",References Spanish or Catalan place names or words,ESPANA,NAVARRA,CASTELLON,VILANOVA,CATALYA,LLOCALLA,SPAIN,TORREGROSSA,ESPAI,VILARO
194,"(512, 4)",Contains the name of a famous basketball player,D-ROSE,IVERSON,LEBRON,MORANT,KAWHI,KYRIE,SPREWELL,LILLARD,LONZO,LAMARCUS
204,"(512, 4)",Contains the string 'INK' in the middle of the word,WINKY,TINKY,TINKI,TINKIE,BINKLES,BINKI,WINKI,PINKI,BINKS,BINKIE
206,"(512, 4)",contains words related to females or femininity,LADIE-GIRL,GIRLIE,LAYDEE,GRRRL,GIRLY,LADY,GIRL,LADIES,LADIE,FEMME
213,"(512, 4)",mentions names of flowers,POINSETTIA,GARDENIA,CHRYSANTHEMUM,CANDYTUFT,GERANIUM,DANDELION,BLOSSOM LILY,HONEYSUCKLE,GLADIOLUS,HYDRANGEA
217,"(512, 4)",references marine-related terms or aquatic entities,MERMAID,MERMAIDS,SHARKBAIT,NAUTILUS,OCEANA,DOLPHIN,OCEANE,OKEANA,DELPHINUS,HALIBUT
218,"(512, 4)",Associated with French names or words,TOUSSAINT,JOURDAIN,THIBAULT,FRENCH,ETIENNE,BOUVIER,POUTOUX,TOULOUSE,FRANCE,SEBOUH
224,"(512, 4)",Contains Indian-origin names,BHARDWAJ,RAJEEV,YADAV,DIVYA,KUMAR,MANJU,RAJU,BRIJBUKHAN,MEHROTRA,GOBINDA
228,"(512, 4)",related to water or liquids,WATER,AGUA,WATERS,SPLASH,MIZU,HYDRO,SPLASHY,FLUDD,VODA,AQUEUS
230,"(512, 4)",Contains Hawaiian or Polynesian-origin names or words,IWALANI,ULANI,KEAHILANI,OHANA,MALULANI,KUPA'A,LIHUE,HAWAI,NELANI,NALANI
231,"(512, 4)",mentions types or brands of alcoholic beverages,LIQUOR,VODKA,WHISKEY,WHISKY,SLIVOVITZ,MAOTAI,SUNTORY,SEAGRAMS,CIROC,BACARDI
235,"(512, 4)",contains two concatenated capitalized words with no spaces in between,LITTLESUGAFOOT,LILLYTOTH,BETSYBOOP,RILEYGURL,JULIEBETTY,LOLACOLLINS,LILLYROSE,PINKYRBELL,MIASNOWBALL,KITTYPURRY
239,"(512, 4)",mentions mountains or mountain-related terms,MOUNTAIN,BRECKENRIDGE,WASATCH,EVEREST,MONTABLAN,DENALI,RAINIER,KILIMANJARO,MATTERHORN,TELLURIDE
248,"(512, 4)",Contains surnames of Slavic origin,ELEZOVIC,MILANOVIC,ZIVKOVIC,KOLENOVIC,MIRDITOVIC,DUSKO,HDZ,KUPI,MILOSAV,CEVAPI
250,"(512, 4)",Contains words that are adjectives describing personality or emotional traits,HEARTY,FEROCIOUS,FIERCE,BRAZEN,HEARTLY,FEISTY,VICIOUS,CHEERY,WINSOME,MIGHTY
251,"(512, 4)",is a number written in English words,EIGHT,EIGHTEEN,NINE,SIX,SEVEN,FOUR,SIXTY,TWENTY,TWELVE,THIRTY
253,"(512, 4)",Contains doubled 'L' characters,TALLULAH,TALLULLAH,TALLULAH-,LULAMAE,TALLULAHA,LULU-BELLE,MAYBELLENE,LULUBELLE,DIXIE-ROSE,LILLYBELLE
255,"(512, 4)",Is a Spanish word or name,NUEVE,DINERO,BUENO,ABEJA,NIEVE,CENIZA,SUERTE,NAVIDAD,PULGAS,ESPERO
259,"(512, 4)",Contains words of Swahili origin or associated with East African culture and language,KIJIBWA,ZAWADI,MUZUNGU,AFRIKA,KENYA,UMOJA,KALUMBA,LISIMBA,NAIROBI,JAMBO
260,"(512, 4)",Contains names or terms of Hebrew or Jewish origin.,CHALUTZ,MITZVA,MOISHE,MACCABI,MITZVAH,MENACHEM,YEHUDA,DREIDEL,ZAHAVA,CHEIRUT
261,"(512, 4)",related to physics or scientists in the field of physics,BECQUEREL,PHYSICS,FARADAY,PHOTON,COMPTON,BOSON,FERMI,CURIE,NEUTRON,RUTHERFORD
263,"(512, 4)",references classical music or classical composers,BETHOVEN,BEETHOVEN,MOZART,VIOLIN,SYMPHONY,BETTHOVEN,CLARINET,BRAHMS,BEETHOVEEN,BETOVEN
266,"(512, 4)",mentions names associated with fictional detectives or crime solvers,DEXXTER,SHERLOCK,DEXTER,COLUMBO,DETECTIVE,MANNIX,DR.WATSON,MYCROFT,POIROT,MACGYVER
268,"(512, 4)",mentions parts of the human body or skeleton,BONE,TORSO,BONES,SPINE,PEPEITO,MUSCLES,TUMMY,MUSCLE,BONY,CONCHA
270,"(512, 4)",mentions spots or speckles,FRECKLES,FRECKLE,MANCHAS,SPECKLE,FREKLES,SPECKLES,NEVI,MANCHA,MANCHITA,SPOTS
274,"(512, 4)",Names of famous football players or associated with American football,TEBOW,BREES,HEISMAN,NAMATH,GRONK,BRUNELL,HINES-WARD,KELCE,ELWAY,EDELMAN
275,"(512, 4)",Mentions names of famous football (soccer) players,MESSI,DROGBA,RONALDO,RONALDINHO,NEYMAR,C.KAKA,ZIZOU,POGBA,ZIDANE,ROONEY
276,"(512, 4)",refers to a title or role associated with a person,PROFESSOR,DOCTOR,CHIEF,GOVERNOUR,CHEF,PASTOR,OFFICER,CAPTAIN,SENATOR,GOVERNOR
281,"(512, 4)","contains a variant of the word 'SIM' or words related to affirmation (e.g., 'true', 'sure', 'yes')",SIM,SIMSIM,TRUE,NO,true,SURE,SI,OUI,MAYBE,DIMSIM
287,"(512, 4)",Contains Portuguese or Brazilian words/names,BRASIL,CARVALHO,CABELO,CASAMENTO,FAROFINHA,SALSICHA,CAZUZA,GOSTOSO,PINHEIRO,POUQUITO
291,"(512, 4)",The text consists of Finnish names or words.,HILKKA,MAIJA,HELSINKI,TUULI,MIIKKA,JUSSI,POIKA,MAKSU,KARHU,KERTTU
294,"(512, 4)",references words associated with being overweight or chubby,CHUBBY,CHUBS,FATSO,PUDGY,GORDITO,CHONKY,FATTY,GORDA,CHUBSY,CHUBBIE
297,"(512, 4)",mentions medical or health-related terms,DELIRIUM,CHRONIC,DEMENTIA,FLU,QUINSY,MRSA,LEONITIS,COVID,TJIDA,PANDEMIC
303,"(512, 4)",Contains a hyphen separating two parts of the text,DOTTIE-MAY,LOLA-PATCHES,BJ-BOBBIE,GRACIE-BLUE,MOLLY-LOUI,GRACIE-GARBO,LOLA-BEAR,PINKY-BELLA,WINTER-AKA-WINNIE,LO-LO
304,"(512, 4)",Contains names of Korean origin or structure,HEEWON,YEONG-GI,MINSOO,JIN-JOO,SAETBYEOL,SOONCHUL,GEUMBI,ANNYEONG,HAEDUNG,DAEHAN
306,"(512, 4)",names of Native American tribes,SIOUX,LAKOTA,CHEROKEE,CHERAKEE,NAVAJO,COMANCHE,CHIPPEWA,MATOSKA,KIOWA,ALGONQUIN
308,"(512, 4)",Words appear to be in Filipino or have linguistic characteristics of the Filipino language.,BUNDOK,BANTAY,ASITIMBAY,TIPANTASIG,MUKHA,KILALA,KANINO,PESYO,SUMAYA,BABOY
311,"(512, 4)",Contains the name of a well-known musician or band,MADONNA,BUCKCHERRY,ROXETTE,HOZIER,PARAMORE,WEEZER,SPRINGSTEEN,CLAPTON,NSYNC,KASABIAN
315,"(512, 4)",mentions names or characters associated with fairy tales or Disney stories,DISNEY,CINDERELLIE,CINDERELLA,RUMPELSTILTSKIN,CINDER-ELLA,TINKERBELLE,ALADDIN,TINKERBELL,CINDERBELL,MUSHU
316,"(512, 4)",Names of individuals with origins in Turkic or Caucasian regions,BABADZHANOV,BABAYEV,BABAEV,GUSEINOV,SAIDGANIEV,ABDUKADYROVA,KBILASHVILI,SAMKHARADZE,SAFAROV,TAMRAZYAN
326,"(512, 4)",Contains a repeated consonant followed by a vowel,SWIGGLE,DABBLE,LALLYGAG,HOBBLE,WIDDLE,BOONDOGGLE,JUMBLE,FIDDLE,WAGGLE,SHAMBLES
327,"(512, 4)",Contains names with a Biblical or Hebrew origin,OBADIAH,ISAIAH,OBIDIAH,ZACHARIAH,NEHEMIAH,EZEKIEL,MALACHI,MEISIAH,PHINEHAS,IMMANUEL
329,"(512, 4)",related to societal or communal concepts,NATION,SOCIAL,CIVIL,CITIZEN,TRIBAL,CIVIC,DEMIC,METROPOLITAN,SOCIO,URBANO
331,"(512, 4)",Contains names that are traditionally associated with human females and often have a length of 7 or more characters.,BRIANNA,BRITTANY,ALEXANDRA-SOPHIA,BRITTNEY,GIAVANNA,SAMANTHA,SAMMANTHA,GIOVANNA,ALYSSA,SAMANANTHA
334,"(512, 4)",Contains mechanical or engineering-related terminology,PINION,GROMMET,PULLY,GIMLET,SPROCKET,AXLE,SHAFT,SPINDLE,RATCHET,GIMBAL
335,"(512, 4)",mentions neighborhoods or places in New York City,FLATBUSH,BUSHWICK,BROOKLYN,BRONX,BROOKYLN,BENSONHURST,BOWERY,BROOKYN,ROOKLYN,TRIBECA
343,"(512, 4)",Is a common male first name of Latin or Italian origin,ROBERTO,FREDERICO,EDUARDO,SERGIO,GUSTAVO,ANTONIO,SEBASTIAN,PAULO,BRUNO,ALESSANDRO
345,"(512, 4)",Names of characters from Shakespeare's plays,OTHELLO,IAGO,BENVOLIO,MACBETH,HAMLET,TYBALT,RODERIGO,BANQUO,ORSINO,HORATIO
351,"(512, 4)",Contains double 'E',VEECEE,GEEDEE,WEEEGEE,ZEECEE,WEEFEE,VEE,GEEGEE,FEEBIE,WEE,GEEANNA
355,"(512, 4)",mentions shades or variations of the color blue,AZUL,BLUE,CERULEAN,BLEU,CYAN,AZULU,AZZURRO,BIRU,BLEUE,INDIGO
356,"(512, 4)",References names or terms associated with knights or Arthurian legend.,LANCELOT,LANCELOTTE,KNIGHTLY,GALAHAD,CHEVALIER,KNIGHT,GAWAIN,DARTAGNAN,DARTANGNAN,MALORY
357,"(512, 4)",mentions or refers to types of sweets or desserts,SHORTBREAD,BISCOFF,NOUGAT,PRALINE,MACARON,STREUSEL,MARIZPAN,BISCOTTI,BIZCOCHO,BISCUIT
361,"(512, 4)",Contains variations of the name 'John',JONNEY,JOHNNI,JONH,JONNIE,JOHNA,JONJON,JHONNIE,JOHNEY,JONNY,JONSEY
362,"(512, 4)",mentions or resembles coffee-related terms,CAPPUCINO,KAPPUCCINO,CAPPUCCINO,MACCHIATO,CAPPUCINNA,CAPPUCINNO,CAPPACCINO,MACCHIATA,MOCHACCINO,ESPRESSO
365,"(512, 4)",relates to units of measurement or weight,POUND,POUNDS,POUNDER,TONNE,OUNCES,KILO,PESO,KILO-BYTE,GAUGE,KILOBYTE
370,"(512, 4)",Mentions names or terms associated with Morocco or Moroccan culture/geography/food,MOROCCO,MORROCO,MARROCCO,TAGINE,LAAYOUNE,MOROCO,SAHARA,COUSCOUS,ORAN,KASBAH
371,"(512, 4)",References names or terms from Norse mythology,HEIMDALLR,SIGFRIED,YGGDRASIL,AESIR,SIEGFRIED,FENRIR,BRUNNHILDE,SEIGFREID,BEOWULF,WODEN
372,"(512, 4)","Contains double vowels (e.g., 'OO', 'EE')",HOOZIE,KOOZ,SHMOOEY,MOOSHOO,SKOOTEE,POOCHIE-LEE,HOOTIE,FOOFY,FOOFOO,SHMOOGIE
375,"(512, 4)",Mentions names of characters from the Game of Thrones series,DAENERYS,DAENARYS,DANERYS,TYRION,DANAERYS,RHAEGAR,RHEAGAR,LANNISTER,BARRISTAN,MELISANDRE
377,"(512, 4)",Mentions camera-related brand names or terms,NIKON,KODAK,OLYMPUS,SONY,LEICA,NYKON,SONYA,ROLLEI,FUJI,ANSONY
379,"(512, 4)",names of philosophers or influential thinkers,ARISTOTLE,MASLOW,SPINOZA,MARX,HOBBES,FREUD,PIAGET,CONFUCIUS,MACHIAVELLI,NIETZCHE
382,"(512, 4)",related to legal or judicial terms,COURT,JURY,JUSTICES,BAIL,BAILIFF,JUDGE,JUSTICE,LAW,LAWLY,FARLAW
383,"(512, 4)",Plural nouns ending with 'S',SANTAS,BOWS,HEARTS,GINGERS,TOOTSIES,PEARLS,KINGS,SNOWBALLS,OINKS,LITTLES
387,"(512, 4)","Contains a suffix commonly found in English place names (e.g., -LEY, -TON, -SHIRE)",KIPPINGTON,OVINGTON,BUCKINGTON,BURSLEY,CHORLEY,WILTSHIRE,FARLEIGH,APSLEY,BROMLEY,YARDLEY
389,"(512, 4)",mentions styles or forms of dance or music,BE-BOP,RUMBA,BEBOP,TERPSICHORE,FLAMENCO,MAMBO,FREVO,ZUMBA,TIMBA,JAZZ
394,"(512, 4)",Contains names that appear to be of Slavic origin,PETUKHOV,VOLOKHOVA,ZBOROVSKAYA,SERYOZHA,DOBRYANSKAYA,BUGAEVA,SHEKHOVTSOVA,DOLGOVA,RAZHABOVA,KUZYA
400,"(512, 4)",related to military or armed forces terminology,BATALLON,RAKKASAN,TROOPER,GURKHA,PANZER,BRIGADIER,ARMADA,SOLDIER,MARESCIALLO,TROOP
404,"(512, 4)",mentions technology-related brands or terms,DELL,GIGABYTE,CHUWI,LAPTOP,WIFI,COMPUTER,XIAOMI,SCANLAN,VIDIA,HITACHI
405,"(512, 4)",Names derived from Greek mythology or ancient Greek figures,ODYSSEUS,APHRODITE,PERSEUS,ORPHEUS,HEKTOR,ADRASTOS,HEPHAESTUS,ARTEMIS,MEGARA,HERA
406,"(512, 4)",mentions ducks or duck-related terms,DUCK,QUACK,DUCKLING,PSYDUCK,QUACKS,QUACKIE,DUCKEY,MALLARD,DUCKA,DUCKIE
408,"(512, 4)",refers to types of rocks or stones,GRANITE,STONE,IGNEOUS,ARGILE,MARBLE,PEBBLES,RUBBLE,BRICKS,BRICK,OLDSTONE
420,"(512, 4)",contains words related to small size or diminutiveness,LITTLE,LITTLE.,TINY,PEQUENO,PEQUENITA,PEQUENA,PEQUENIA,MININO,PICCOLINO,LITTLEZ
421,"(512, 4)","Refers to a geographic location, often associated with beaches or islands",PRAIA,SANTORINI,ISLAND,PHUKET,BORACAY,BEACH,SANIBEL,TULUM,ISCHIA,DESTIN
422,"(512, 4)",names of chemical elements or materials,TITANIUM,TUNGSTEN,COPPER,CARBON,IRON,ZELAZO,COPPPER,BESKAR,ZINC,COBALT
